Ἀζώτου N2--GSM--- Ἄζωτος
καὶ C--------- καί
ἐξαρθήσεται VC--FPI3S- αἴρω ἐκ
φυλὴ N1--NSF--- φυλή
ἐξ P--------- ἐκ
Ἀσκαλῶνος N3W-GSF--- Ἀσκαλών
καὶ C--------- καί
ἐπάξω VF--FAI1S- ἄγω ἐπι
τὴν RA--ASF--- ὁ
χεῖρά N3--ASF--- χείρ
μου RP--GS---- ἐγώ
ἐπὶ P--------- ἐπί
Ακκαρων N---AS---- Ακκαρων
καὶ C--------- καί
ἀπολοῦνται VF2-FMI3P- ὀλλύω ἀπο
οἱ RA--NPM--- ὁ
κατάλοιποι A1B-NPM--- κατάλοιπος
τῶν RA--GPM--- ὁ
ἀλλοφύλων A1B-GPM--- ἀλλόφυλος
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος

Amo 1:9
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἐπὶ P--------- ἐπί
ταῖς RA--DPF--- ὁ
τρισὶν A3--DPF--- τρεῖς
ἀσεβείαις N1A-DPF--- ἀσέβεια
Τύρου N2--GSF--- Τύρος
καὶ C--------- καί
ἐπὶ P--------- ἐπί
ταῖς RA--DPF--- ὁ
τέσσαρσιν A3--DPF--- τέσσαρες
οὐκ D--------- οὐ
ἀποστραφήσομαι VD--FPI1S- στρέφω ἀπο
αὐτήν RD--ASF--- αὐτός
ἀνθ' P--------- ἀντί
ὧν RR--GPM--- ὅς
συνέκλεισαν VAI-AAI3P- κλείω συν
αἰχμαλωσίαν N1A-ASF--- αἰχμαλωσία
τοῦ RA--GSM--- ὁ
Σαλωμων N---GSM--- Σαλωμών
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
Ιδουμαίαν N1A-ASF--- Ιδουμαία
καὶ C--------- καί
οὐκ D--------- οὐ
ἐμνήσθησαν VSI-API3P- μιμνήσκω
διαθήκης N1--GSF--- διαθήκη
ἀδελφῶν N2--GPM--- ἀδελφός

Amo 1:10
καὶ C--------- καί
ἐξαποστελῶ VF2-FAI1S- στέλλω ἐκ ἀπο
πῦρ N3--ASN--- πῦρ
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
τείχη N3E-APN--- τεῖχος
Τύρου N2--GSF--- Τύρος
καὶ C--------- καί
καταφάγεται VF--FMI3S- ἐσθίω κατα
θεμέλια N2N-APN--- θεμέλιον
αὐτῆς RD--GSF--- αὐτός

Amo 1:11
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἐπὶ P--------- ἐπί
ταῖς RA--DPF--- ὁ
τρισὶν A3--DPF--- τρεῖς
ἀσεβείαις N1A-DPF--- ἀσέβεια
τῆς RA--GSF--- ὁ
Ιδουμαίας N1A-GSF--- Ιδουμαία
καὶ C--------- καί
ἐπὶ P--------- ἐπί
ταῖς RA--DPF--- ὁ
τέσσαρσιν A3--DPF--- τέσσαρες
οὐκ D--------- οὐ
ἀποστραφήσομαι VD--FPI1S- στρέφω ἀπο
αὐτούς RD--APM--- αὐτός
ἕνεκα P--------- ἕνεκα
τοῦ RA--GSN--- ὁ
διῶξαι VA--AAN--- διώκω
αὐτοὺς RD--APM--- αὐτός
ἐν P--------- ἐν
ῥομφαίᾳ N1A-DSF--- ῥομφαία
τὸν RA--ASM--- ὁ
ἀδελφὸν N2--ASM--- ἀδελφός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐλυμήνατο VAI-AMI3S- λυμαίνω
μήτραν N1A-ASF--- μήτρα
ἐπὶ P--------- ἐπί
γῆς N1--GSF--- γῆ
καὶ C--------- καί
ἥρπασεν VAI-AAI3S- ἁρπάζω
εἰς P--------- εἰς
μαρτύριον N2N-ASN--- μαρτύριον
φρίκην N1--ASF--- φρίκη
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τὸ RA--ASN--- ὁ
ὅρμημα N3M-ASN--- ὅρμημα
αὐτοῦ RD--GSM--- αὐτός
ἐφύλαξεν VAI-AAI3S- φυλάσσω
εἰς P--------- εἰς
νεῖκος N3E-ASN--- νεῖκος

Amo 1:12
καὶ C--------- καί
ἐξαποστελῶ VF2-FAI1S- στέλλω ἐκ ἀπο
πῦρ N3--ASN--- πῦρ
εἰς P--------- εἰς
Θαιμαν N---AS---- Θαιμαν
καὶ C--------- καί
καταφάγεται VF--FMI3S- ἐσθίω κατα
θεμέλια N2N-APN--- θεμέλιον
τειχέων N3E-GPN--- τεῖχος
αὐτῆς RD--GSF--- αὐτός

Amo 1:13
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἐπὶ P--------- ἐπί
ταῖς RA--DPF--- ὁ
τρισὶν A3--DPF--- τρεῖς
ἀσεβείαις N1A-DPF--- ἀσέβεια
υἱῶν N2--GPM--- υἱός
Αμμων N---GSM--- Αμμων
καὶ C--------- καί
ἐπὶ P--------- ἐπί
ταῖς RA--DPF--- ὁ
τέσσαρσιν A3--DPF--- τέσσαρες
οὐκ D--------- οὐ
ἀποστραφήσομαι VD--FPI1S- στρέφω ἀπο
αὐτόν RD--ASM--- αὐτός
ἀνθ' P--------- ἀντί
ὧν RR--GPM--- ὅς
ἀνέσχιζον V1I-IAI3P- σχίζω ἀνα
τὰς RA--APF--- ὁ
ἐν P--------- ἐν
γαστρὶ N3--DSF--- γαστήρ
ἐχούσας V1--PAPAPF ἔχω
τῶν RA--GPM--- ὁ
Γαλααδιτῶν N3--GPM--- Γαλααδῖτις
ὅπως C--------- ὅπως
ἐμπλατύνωσιν V1--PAS3P- πλατύνω ἐν
τὰ RA--APN--- ὁ
ὅρια N2N-APN--- ὅριον
αὐτῶν RD--GPM--- αὐτός

Amo 1:14
καὶ C--------- καί
ἀνάψω VF--FAI1S- ἅπτω ἀνα
