Mal 1:1
τῷ RA--DSN--- ὁ
λέγειν V1--PAN--- λέγω
ὑμᾶς RP--AP---- σύ
τράπεζα N1A-NSF--- τράπεζα
κυρίου N2--GSM--- κύριος
ἐξουδενωμένη V4--PPPNSF ἐξουδενόω
ἐστὶν V9--PAI3S- εἰμί
καὶ C--------- καί
τὰ RA--APN--- ὁ
ἐπιτιθέμενα V7--PPPAPN τίθημι ἐπι
βρώματα N3M-APN--- βρῶμα
ἐξουδενωμένα V4--PPPAPN ἐξουδενόω

Mal 1:8
διότι C--------- διότι
ἐὰν C--------- ἐάν
προσαγάγητε VB--AAS2P- ἄγω προς
τυφλὸν A1--ASM--- τυφλός
εἰς P--------- εἰς
θυσίαν N1A-ASF--- θυσία
οὐ D--------- οὐ
κακόν A1--ASM--- κακός
καὶ C--------- καί
ἐὰν C--------- ἐάν
προσαγάγητε VB--AAS2P- ἄγω προς
χωλὸν A1--ASM--- χωλός
ἢ C--------- ἤ
ἄρρωστον A1B-ASM--- ἄρρωστος
οὐ D--------- οὐ
κακόν A1--ASM--- κακός
προσάγαγε VB--AAD2S- ἄγω προς
δὴ X--------- δή
αὐτὸ RD--ASN--- αὐτός
τῷ RA--DSM--- ὁ
ἡγουμένῳ V2--PMPDSM ἡγέομαι
σου RP--GS---- σύ
εἰ C--------- εἰ
προσδέξεται VF--FMI3S- δέχομαι προς
αὐτό RD--ASN--- αὐτός
εἰ C--------- εἰ
λήμψεται VF--FMI3S- λαμβάνω
πρόσωπόν N2N-ASN--- πρόσωπον
σου RP--GS---- σύ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
παντοκράτωρ N3R-NSM--- παντοκράτωρ

Mal 1:9
καὶ C--------- καί
νῦν D--------- νῦν
ἐξιλάσκεσθε V1--PMD2P- ἱλάσκομαι ἐκ
τὸ RA--ASN--- ὁ
πρόσωπον N2N-ASN--- πρόσωπον
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
δεήθητε VC--APS2P- δέω
αὐτοῦ RD--GSM--- αὐτός
ἐν P--------- ἐν
χερσὶν N3--DPF--- χείρ
ὑμῶν RP--GP---- σύ
γέγονεν VX--XAI3S- γίγνομαι
ταῦτα RD--APN--- οὗτος
εἰ C--------- εἰ
λήμψομαι VF--FMI1S- λαμβάνω
ἐξ P--------- ἐκ
ὑμῶν RP--GP---- σύ
πρόσωπα N2N-APN--- πρόσωπον
ὑμῶν RP--GP---- σύ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
παντοκράτωρ N3R-NSM--- παντοκράτωρ

Mal 1:10
διότι C--------- διότι
καὶ D--------- καί
ἐν P--------- ἐν
ὑμῖν RP--DP---- σύ
συγκλεισθήσονται VC--FPI3P- κλείω συν
θύραι N1A-NPF--- θύρα
καὶ C--------- καί
οὐκ D--------- οὐ
ἀνάψετε VF--FAI2P- ἅπτω ἀνα
τὸ RA--ASN--- ὁ
θυσιαστήριόν N2N-ASN--- θυσιαστήριον
μου RP--GS---- ἐγώ
δωρεάν N1A-ASF--- δωρεά
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
μου RP--GS---- ἐγώ
θέλημα N3M-ASN--- θέλημα
ἐν P--------- ἐν
ὑμῖν RP--DP---- σύ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
παντοκράτωρ N3R-NSM--- παντοκράτωρ
καὶ C--------- καί
θυσίαν N1A-ASF--- θυσία
οὐ D--------- οὐ
προσδέξομαι VF--FMI1S- δέχομαι προς
ἐκ P--------- ἐκ
τῶν RA--GPF--- ὁ
χειρῶν N3--GPF--- χείρ
ὑμῶν RP--GP---- σύ

Mal 1:11
διότι C--------- διότι
ἀπ' P--------- ἀπό
ἀνατολῶν N1--GPF--- ἀνατολή
ἡλίου N2--GSM--- ἥλιος
ἕως P--------- ἕως
δυσμῶν N1--GPF--- δυσμή
τὸ RA--NSN--- ὁ
ὄνομά N3M-NSN--- ὄνομα
μου RP--GS---- ἐγώ
δεδόξασται VT--XMI3S- δοξάζω
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ἔθνεσιν N3E-DPN--- ἔθνος
καὶ C--------- καί
ἐν P--------- ἐν
παντὶ A3--DSM--- πᾶς
τόπῳ N2--DSM--- τόπος
θυμίαμα N3M-NSN--- θυμίαμα
προσάγεται V1--PPI3S- ἄγω προς
