Hag 1:1
ἐπεβλέψατε VAI-AAI2P- βλέπω ἐπι
εἰς P--------- εἰς
πολλά A1--APN--- πολύς
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ὀλίγα A1--NPN--- ὀλίγος
καὶ C--------- καί
εἰσηνέχθη VQI-API3S- φέρω εἰς
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
καὶ C--------- καί
ἐξεφύσησα VAI-AAI1S- φυσάω ἐκ
αὐτά RD--APN--- αὐτός
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
παντοκράτωρ N3R-NSM--- παντοκράτωρ
ἀνθ' P--------- ἀντί
ὧν RR--GPN--- ὅς
ὁ RA--NSM--- ὁ
οἶκός N2--NSM--- οἶκος
μού RP--GS---- ἐγώ
ἐστιν V9--PAI3S- εἰμί
ἔρημος N2--NSF--- ἔρημος
ὑμεῖς RP--NP---- σύ
δὲ X--------- δέ
διώκετε V1--PAI2P- διώκω
ἕκαστος A1--NSM--- ἕκαστος
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
αὐτοῦ RD--GSM--- αὐτός

Hag 1:10
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἀνέξει VF--FAI3S- ἔχω ἀνα
ὁ RA--NSM--- ὁ
οὐρανὸς N2--NSM--- οὐρανός
ἀπὸ P--------- ἀπό
δρόσου N2--GSF--- δρόσος
καὶ C--------- καί
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
ὑποστελεῖται VF2-FMI3S- στέλλω ὑπο
τὰ RA--APN--- ὁ
ἐκφόρια N2N-APN--- ἐκφόριον
αὐτῆς RD--GSF--- αὐτός

Hag 1:11
καὶ C--------- καί
ἐπάξω VF--FAI1S- ἄγω ἐπι
ῥομφαίαν N1A-ASF--- ῥομφαία
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
ὄρη N3E-APN--- ὄρος
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
σῖτον N2--ASM--- σῖτος
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
οἶνον N2--ASM--- οἶνος
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
ἔλαιον N2N-ASN--- ἔλαιον
καὶ C--------- καί
ὅσα A1--APN--- ὅσος
ἐκφέρει V1--PAI3S- φέρω ἐκ
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
καὶ D--------- καί
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
ἀνθρώπους N2--APM--- ἄνθρωπος
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
κτήνη N3E-APN--- κτῆνος
καὶ C--------- καί
ἐπὶ P--------- ἐπί
πάντας A1S-APM--- πᾶς
τοὺς RA--APM--- ὁ
πόνους N2--APM--- πόνος
τῶν RA--GPM--- ὁ
χειρῶν N3--GPF--- χείρ
αὐτῶν RD--GPM--- αὐτός

Hag 1:12
καὶ C--------- καί
ἤκουσεν VAI-AAI3S- ἀκούω
Ζοροβαβελ N---NSM--- Ζοροβαβελ
ὁ RA--NSM--- ὁ
τοῦ RA--GSM--- ὁ
Σαλαθιηλ N---GSM--- Σαλαθιηλ
ἐκ P--------- ἐκ
φυλῆς N1--GSF--- φυλή
Ιουδα N---GSM--- Ιουδα
καὶ C--------- καί
Ἰησοῦς N---NSM--- Ἰησοῦς
ὁ RA--NSM--- ὁ
τοῦ RA--GSM--- ὁ
Ιωσεδεκ N---GSM--- Ιωσεδεκ
ὁ RA--NSM--- ὁ
ἱερεὺς N3V-NSM--- ἱερεύς
ὁ RA--NSM--- ὁ
μέγας A1P-NSM--- μέγας
καὶ C--------- καί
πάντες A1S-NPM--- πᾶς
οἱ RA--NPM--- ὁ
κατάλοιποι A1B-NPM--- κατάλοιπος
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
τῆς RA--GSF--- ὁ
φωνῆς N1--GSF--- φωνή
κυρίου N2--GSM--- κύριος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τῶν RA--GPM--- ὁ
λόγων N2--GPM--- λόγος
Αγγαιου N2--GSM--- Αγγαιος
τοῦ RA--GSM--- ὁ
προφήτου N1M-GSM--- προφήτης
καθότι D--------- καθότι
ἐξαπέστειλεν VAI-AAI3S- στέλλω ἐκ ἀπο
αὐτὸν RD--ASM--- αὐτός
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
αὐτῶν RD--GPM--- αὐτός
πρὸς P--------- πρός
αὐτούς RD--APM--- αὐτός
καὶ C--------- καί
ἐφοβήθη VCI-API3S- φοβέω
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
κυρίου N2--GSM--- κύριος

Hag 1:13
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Αγγαιος N---NSM--- Αγγαιος
ὁ RA--NSM--- ὁ
ἄγγελος N2--NSM--- ἄγγελος
κυρίου N2--GSM--- κύριος
τῷ RA--DSM--- ὁ
λαῷ N2--DSM--- λαός
ἐγώ RP--NS---- ἐγώ
εἰμι V9--PAI1S- εἰμί
μεθ' P--------- μετά
ὑμῶν RP--GP---- σύ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος

Hag 1:14
καὶ C--------- καί
ἐξήγειρεν V1I-IAI3S- ἀγείρω ἐκ
κύριος N2--NSM--- κύριος
τὸ RA--ASN--- ὁ
πνεῦμα N3M-ASN--- πνεῦμα
Ζοροβαβελ N---GSM--- Ζοροβαβελ
τοῦ RA--GSM--- ὁ
Σαλαθιηλ N---GSM--- Σαλαθιηλ
ἐκ P--------- ἐκ
φυλῆς N1--GSF--- φυλή
Ιουδα N---GSM--- Ιουδα
καὶ C--------- καί
τὸ RA--ASN--- ὁ
πνεῦμα N3M-ASN--- πνεῦμα
Ἰησοῦ N---GSM--- Ἰησοῦς
τοῦ RA--GSM--- ὁ
Ιωσεδεκ N---GSM--- Ιωσεδεκ
τοῦ RA--GSM--- ὁ
ἱερέως N3V-GSM--- ἱερεύς
τοῦ RA--GSM--- ὁ
