Bar 1:1
σκεύη N3E-APN--- σκεῦος
ἀργυρᾶ A1C-APN--- ἀργυροῦς
ἃ RR--APN--- ὅς
ἐποίησεν VAI-AAI3S- ποιέω
Σεδεκιας N---NSM--- Σεδεκιας
υἱὸς N2--NSM--- υἱός
Ιωσια N---GSM--- Ιωσιας
βασιλεὺς N3V-NSM--- βασιλεύς
Ιουδα N---GSM--- Ιουδα

Bar 1:9
μετὰ P--------- μετά
τὸ RA--ASN--- ὁ
ἀποικίσαι VA--AAN--- οἰκίζω ἀπο
Ναβουχοδονοσορ N---ASM--- Ναβουχοδονοσορ
βασιλέα N3V-ASM--- βασιλεύς
Βαβυλῶνος N3N-GSF--- Βαβυλών
τὸν RA--ASM--- ὁ
Ιεχονιαν N---ASM--- Ιεχονιας
καὶ C--------- καί
τοὺς RA--APM--- ὁ
ἄρχοντας N3--APM--- ἄρχων
καὶ C--------- καί
τοὺς RA--APM--- ὁ
δεσμώτας N1M-APM--- δεσμώτης
καὶ C--------- καί
τοὺς RA--APM--- ὁ
δυνατοὺς A1--APM--- δυνατός
καὶ C--------- καί
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἀπὸ P--------- ἀπό
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ
καὶ C--------- καί
ἤγαγεν VBI-AAI3S- ἄγω
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
Βαβυλῶνα N3N-ASF--- Βαβυλών

Bar 1:10
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
ἰδοὺ I--------- ἰδού
ἀπεστείλαμεν VAI-AAI1P- στέλλω ἀπο
πρὸς P--------- πρός
ὑμᾶς RP--AP---- σύ
ἀργύριον N2N-ASN--- ἀργύριον
καὶ C--------- καί
ἀγοράσατε VA--AAD2P- ἀγοράζω
τοῦ RA--GSN--- ὁ
ἀργυρίου N2N-GSN--- ἀργύριον
ὁλοκαυτώματα N3M-APN--- ὁλοκαύτωμα
καὶ C--------- καί
περὶ P--------- περί
ἁμαρτίας N1A-GSF--- ἁμαρτία
καὶ C--------- καί
λίβανον N2--ASM--- λίβανος
καὶ C--------- καί
ποιήσατε VA--AAD2P- ποιέω
μαννα N---ASN--- μαννα
καὶ C--------- καί
ἀνοίσατε VA--AAD2P- φέρω ἀνα
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
θυσιαστήριον N2N-ASN--- θυσιαστήριον
κυρίου N2--GSM--- κύριος
θεοῦ N2--GSM--- θεός
ἡμῶν RP--GP---- ἐγώ

Bar 1:11
καὶ C--------- καί
προσεύξασθε VA--AMD2P- εὔχομαι προς
περὶ P--------- περί
τῆς RA--GSF--- ὁ
ζωῆς N1--GSF--- ζωή
Ναβουχοδονοσορ N---GSM--- Ναβουχοδονοσορ
βασιλέως N3V-GSM--- βασιλεύς
Βαβυλῶνος N3N-GSF--- Βαβυλών
καὶ C--------- καί
εἰς P--------- εἰς
ζωὴν N1--ASF--- ζωή
Βαλτασαρ N---GSM--- Βαλτασαρ
υἱοῦ N2--GSM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
ἵνα C--------- ἵνα
ὦσιν V9--PAS3P- εἰμί
αἱ RA--NPF--- ὁ
ἡμέραι N1A-NPF--- ἡμέρα
αὐτῶν RD--GPM--- αὐτός
ὡς D--------- ὡς
αἱ RA--NPF--- ὁ
ἡμέραι N1A-NPF--- ἡμέρα
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Bar 1:12
καὶ C--------- καί
δώσει VF--FAI3S- δίδωμι
κύριος N2--NSM--- κύριος
ἰσχὺν N3--ASF--- ἰσχύς
ἡμῖν RP--DP---- ἐγώ
καὶ C--------- καί
φωτίσει VF--FAI3S- φωτίζω
τοὺς RA--APM--- ὁ
ὀφθαλμοὺς N2--APM--- ὀφθαλμός
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
ζησόμεθα VF--FMI1P- ζάω
ὑπὸ P--------- ὑπό
τὴν RA--ASF--- ὁ
σκιὰν N1A-ASF--- σκιά
Ναβουχοδονοσορ N---GSM--- Ναβουχοδονοσορ
βασιλέως N3V-GSM--- βασιλεύς
Βαβυλῶνος N3N-GSF--- Βαβυλών
καὶ C--------- καί
ὑπὸ P--------- ὑπό
τὴν RA--ASF--- ὁ
σκιὰν N1A-ASF--- σκιά
Βαλτασαρ N---GSM--- Βαλτασαρ
υἱοῦ N2--GSM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
δουλεύσομεν VF--FAI1P- δουλεύω
αὐτοῖς RD--DPM--- αὐτός
ἡμέρας N1A-APF--- ἡμέρα
πολλὰς A1--APF--- πολύς
καὶ C--------- καί
εὑρήσομεν VF--FAI1P- εὑρίσκω
χάριν N3--ASF--- χάρις
ἐναντίον P--------- ἐναντίον
αὐτῶν RD--GPM--- αὐτός

Bar 1:13
καὶ C--------- καί
προσεύξασθε VA--AMD2P- εὔχομαι προς
περὶ P--------- περί
ἡμῶν RP--GP---- ἐγώ
πρὸς P--------- πρός
κύριον N2--ASM--- κύριος
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
ἡμῶν RP--GP---- ἐγώ
ὅτι C--------- ὅτι
ἡμάρτομεν VBI-AAI1P- ἁμαρτάνω
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
θεῷ N2--DSM--- θεός
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
οὐκ D--------- οὐ
ἀπέστρεψεν VAI-AAI3S- στρέφω ἀπο
ὁ RA--NSM--- ὁ
θυμὸς N2--NSM--- θυμός
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
ἡ RA--NSF--- ὁ
ὀργὴ N1--NSF--- ὀργή
αὐτοῦ RD--GSM--- αὐτός
ἀφ' P--------- ἀπό
ἡμῶν RP--GP---- ἐγώ
ἕως P--------- ἕως
τῆς RA--GSF--- ὁ
