020106 N- ----ASF- ὀσφὺν ὀσφὺν ὀσφύν ὀσφῦς
020106 RP ----GSM- αὐτοῦ, αὐτοῦ αὐτοῦ αὐτός
020106 C- -------- καὶ καὶ καί καί
020106 V- -PAPNSM- ἔσθων ἔσθων ἔσθων ἔσθω
020106 N- ----APF- ἀκρίδας ἀκρίδας ἀκρίδας ἀκρίς
020106 C- -------- καὶ καὶ καί καί
020106 N- ----ASN- μέλι μέλι μέλι μέλι
020106 A- ----ASN- ἄγριον. ἄγριον ἄγριον ἄγριος
020107 C- -------- καὶ καὶ καί καί
020107 V- 3IAI-S-- ἐκήρυσσεν ἐκήρυσσεν ἐκήρυσσε(ν) κηρύσσω
020107 V- -PAPNSM- λέγων· λέγων λέγων λέγω
020107 V- 3PMI-S-- Ἔρχεται Ἔρχεται ἔρχεται ἔρχομαι
020107 RA ----NSM- ὁ ὁ ὁ ὁ
020107 A- ----NSMC ἰσχυρότερός ἰσχυρότερός ἰσχυρότερος ἰσχυρός
020107 RP ----GS-- μου μου μου ἐγώ
020107 P- -------- ὀπίσω ὀπίσω ὀπίσω ὀπίσω
020107 RP ----GS-- μου, μου μου ἐγώ
020107 RR ----GSM- οὗ οὗ οὗ ὅς
020107 D- -------- οὐκ οὐκ οὐ οὐ
020107 V- 1PAI-S-- εἰμὶ εἰμὶ εἰμί εἰμί
020107 A- ----NSM- ἱκανὸς ἱκανὸς ἱκανός ἱκανός
020107 V- -AAPNSM- κύψας κύψας κύψας κύπτω
020107 V- -AAN---- λῦσαι λῦσαι λῦσαι λύω
020107 RA ----ASM- τὸν τὸν τόν ὁ
020107 N- ----ASM- ἱμάντα ἱμάντα ἱμάντα ἱμάς
020107 RA ----GPN- τῶν τῶν τῶν ὁ
020107 N- ----GPN- ὑποδημάτων ὑποδημάτων ὑποδημάτων ὑπόδημα
020107 RP ----GSM- αὐτοῦ· αὐτοῦ αὐτοῦ αὐτός
020108 RP ----NS-- ⸀ἐγὼ ἐγὼ ἐγώ ἐγώ
020108 V- 1AAI-S-- ἐβάπτισα ἐβάπτισα ἐβάπτισα βαπτίζω
020108 RP ----AP-- ⸀ὑμᾶς ὑμᾶς ὑμᾶς σύ
020108 N- ----DSN- ὕδατι, ὕδατι ὕδατι ὕδωρ
020108 RP ----NSM- αὐτὸς αὐτὸς αὐτός αὐτός
020108 C- -------- δὲ δὲ δέ δέ
020108 V- 3FAI-S-- βαπτίσει βαπτίσει βαπτίσει βαπτίζω
020108 RP ----AP-- ὑμᾶς ὑμᾶς ὑμᾶς σύ
020108 P- -------- ⸀ἐν ἐν ἐν ἐν
020108 N- ----DSN- πνεύματι πνεύματι πνεύματι πνεῦμα
020108 A- ----DSN- ἁγίῳ. ἁγίῳ ἁγίῳ ἅγιος
020109 C- -------- Καὶ Καὶ καί καί
020109 V- 3AMI-S-- ἐγένετο ἐγένετο ἐγένετο γίνομαι
020109 P- -------- ἐν ἐν ἐν ἐν
020109 RD ----DPF- ἐκείναις ἐκείναις ἐκείναις ἐκεῖνος
020109 RA ----DPF- ταῖς ταῖς ταῖς ὁ
020109 N- ----DPF- ἡμέραις ἡμέραις ἡμέραις ἡμέρα
020109 V- 3AAI-S-- ἦλθεν ἦλθεν ἦλθε(ν) ἔρχομαι
020109 N- ----NSM- Ἰησοῦς Ἰησοῦς Ἰησοῦς Ἰησοῦς
020109 P- -------- ἀπὸ ἀπὸ ἀπό ἀπό
020109 N- ----GSF- Ναζαρὲτ Ναζαρὲτ Ναζαρέτ Ναζαρέτ
020109 RA ----GSF- τῆς τῆς τῆς ὁ
020109 N- ----GSF- Γαλιλαίας Γαλιλαίας Γαλιλαίας Γαλιλαία
020109 C- -------- καὶ καὶ καί καί
020109 V- 3API-S-- ἐβαπτίσθη ἐβαπτίσθη ἐβαπτίσθη βαπτίζω
020109 P- -------- ⸂εἰς εἰς εἰς εἰς
020109 RA ----ASM- τὸν τὸν τόν ὁ
020109 N- ----ASM- Ἰορδάνην Ἰορδάνην Ἰορδάνην Ἰορδάνης
020109 P- -------- ὑπὸ ὑπὸ ὑπό ὑπό
020109 N- ----GSM- Ἰωάννου⸃. Ἰωάννου Ἰωάννου Ἰωάννης
020110 C- -------- καὶ καὶ καί καί
020110 A- ----NSM- ⸀εὐθὺς εὐθὺς εὐθύς εὐθύς
