030107 D- -------- οὐκ οὐκ οὐ οὐ
030107 V- 3IAI-S-- ἦν ἦν ἦν εἰμί
030107 RP ----DPM- αὐτοῖς αὐτοῖς αὐτοῖς αὐτός
030107 N- ----NSN- τέκνον, τέκνον τέκνον τέκνον
030107 C- -------- καθότι καθότι καθότι καθότι
030107 V- 3IAI-S-- ⸂ἦν ἦν ἦν εἰμί
030107 RA ----NSF- ἡ ἡ ἡ ὁ
030107 N- ----NSF- Ἐλισάβετ⸃ Ἐλισάβετ Ἐλισάβετ Ἐλισάβετ
030107 A- ----NSF- στεῖρα, στεῖρα στεῖρα στεῖρα
030107 C- -------- καὶ καὶ καί καί
030107 A- ----NPM- ἀμφότεροι ἀμφότεροι ἀμφότεροι ἀμφότεροι
030107 V- -XAPNPM- προβεβηκότες προβεβηκότες προβεβηκότες προβαίνω
030107 P- -------- ἐν ἐν ἐν ἐν
030107 RA ----DPF- ταῖς ταῖς ταῖς ὁ
030107 N- ----DPF- ἡμέραις ἡμέραις ἡμέραις ἡμέρα
030107 RP ----GPM- αὐτῶν αὐτῶν αὐτῶν αὐτός
030107 V- 3IAI-P-- ἦσαν. ἦσαν ἦσαν εἰμί
030108 V- 3AMI-S-- Ἐγένετο Ἐγένετο ἐγένετο γίνομαι
030108 C- -------- δὲ δὲ δέ δέ
030108 P- -------- ἐν ἐν ἐν ἐν
030108 RA ----DSN- τῷ τῷ τῷ ὁ
030108 V- -PAN---- ἱερατεύειν ἱερατεύειν ἱερατεύειν ἱερατεύω
030108 RP ----ASM- αὐτὸν αὐτὸν αὐτόν αὐτός
030108 P- -------- ἐν ἐν ἐν ἐν
030108 RA ----DSF- τῇ τῇ τῇ ὁ
030108 N- ----DSF- τάξει τάξει τάξει τάξις
030108 RA ----GSF- τῆς τῆς τῆς ὁ
030108 N- ----GSF- ἐφημερίας ἐφημερίας ἐφημερίας ἐφημερία
030108 RP ----GSM- αὐτοῦ αὐτοῦ αὐτοῦ αὐτός
030108 P- -------- ἔναντι ἔναντι ἔναντι ἔναντι
030108 RA ----GSM- τοῦ τοῦ τοῦ ὁ
030108 N- ----GSM- θεοῦ θεοῦ θεοῦ θεός
030109 P- -------- κατὰ κατὰ κατά κατά
030109 RA ----ASN- τὸ τὸ τό ὁ
030109 N- ----ASN- ἔθος ἔθος ἔθος ἔθος
030109 RA ----GSF- τῆς τῆς τῆς ὁ
030109 N- ----GSF- ἱερατείας ἱερατείας ἱερατείας ἱερατεία
030109 V- 3AAI-S-- ἔλαχε ἔλαχε ἔλαχε(ν) λαγχάνω
030109 RA ----GSN- τοῦ τοῦ τοῦ ὁ
030109 V- -AAN---- θυμιᾶσαι θυμιᾶσαι θυμιᾶσαι θυμιάω
030109 V- -AAPNSM- εἰσελθὼν εἰσελθὼν εἰσελθών εἰσέρχομαι
030109 P- -------- εἰς εἰς εἰς εἰς
030109 RA ----ASM- τὸν τὸν τόν ὁ
030109 N- ----ASM- ναὸν ναὸν ναόν ναός
030109 RA ----GSM- τοῦ τοῦ τοῦ ὁ
030109 N- ----GSM- κυρίου, κυρίου κυρίου κύριος
030110 C- -------- καὶ καὶ καί καί
030110 A- ----NSN- πᾶν πᾶν πᾶν πᾶς
030110 RA ----NSN- τὸ τὸ τό ὁ
030110 N- ----NSN- πλῆθος πλῆθος πλῆθος πλῆθος
030110 V- 3IAI-S-- ἦν ἦν ἦν εἰμί
030110 RA ----GSM- τοῦ τοῦ τοῦ ὁ
030110 N- ----GSM- λαοῦ λαοῦ λαοῦ λαός
