010106 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010106 RA ----ASM- τὸν τὸν τόν ὁ
010106 N- ----ASM- Δαυὶδ Δαυὶδ Δαυίδ Δαυίδ
010106 RA ----ASM- τὸν τὸν τόν ὁ
010106 N- ----ASM- βασιλέα. βασιλέα βασιλέα βασιλεύς
010106 N- ----NSM- Δαυὶδ Δαυὶδ Δαυίδ Δαυίδ
010106 C- -------- ⸀δὲ δὲ δέ δέ
010106 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010106 RA ----ASM- τὸν τὸν τόν ὁ
010106 N- ----ASM- Σολομῶνα Σολομῶνα Σολομῶνα Σολομών
010106 P- -------- ἐκ ἐκ ἐκ ἐκ
010106 RA ----GSF- τῆς τῆς τῆς ὁ
010106 RA ----GSM- τοῦ τοῦ τοῦ ὁ
010106 N- ----GSM- Οὐρίου, Οὐρίου Οὐρίου Οὐρίας
010107 N- ----NSM- Σολομὼν Σολομὼν Σολομών Σολομών
010107 C- -------- δὲ δὲ δέ δέ
010107 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010107 RA ----ASM- τὸν τὸν τόν ὁ
010107 N- ----ASM- Ῥοβοάμ, Ῥοβοάμ Ῥοβοάμ Ῥοβοάμ
010107 N- ----NSM- Ῥοβοὰμ Ῥοβοὰμ Ῥοβοάμ Ῥοβοάμ
010107 C- -------- δὲ δὲ δέ δέ
010107 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010107 RA ----ASM- τὸν τὸν τόν ὁ
010107 N- ----ASM- Ἀβιά, Ἀβιά Ἀβιά Ἀβιά
010107 N- ----NSM- Ἀβιὰ Ἀβιὰ Ἀβιά Ἀβιά
010107 C- -------- δὲ δὲ δέ δέ
010107 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010107 RA ----ASM- τὸν τὸν τόν ὁ
010107 N- ----ASM- ⸂Ἀσάφ, Ἀσάφ Ἀσάφ Ἀσάφ
010108 N- ----NSM- Ἀσὰφ⸃ Ἀσὰφ Ἀσάφ Ἀσάφ
010108 C- -------- δὲ δὲ δέ δέ
010108 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010108 RA ----ASM- τὸν τὸν τόν ὁ
010108 N- ----ASM- Ἰωσαφάτ, Ἰωσαφάτ Ἰωσαφάτ Ἰωσαφάτ
010108 N- ----NSM- Ἰωσαφὰτ Ἰωσαφὰτ Ἰωσαφάτ Ἰωσαφάτ
010108 C- -------- δὲ δὲ δέ δέ
010108 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010108 RA ----ASM- τὸν τὸν τόν ὁ
010108 N- ----ASM- Ἰωράμ, Ἰωράμ Ἰωράμ Ἰωράμ
010108 N- ----NSM- Ἰωρὰμ Ἰωρὰμ Ἰωράμ Ἰωράμ
010108 C- -------- δὲ δὲ δέ δέ
010108 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010108 RA ----ASM- τὸν τὸν τόν ὁ
010108 N- ----ASM- Ὀζίαν, Ὀζίαν Ὀζίαν Ὀζίας
010109 N- ----NSM- Ὀζίας Ὀζίας Ὀζίας Ὀζίας
010109 C- -------- δὲ δὲ δέ δέ
010109 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010109 RA ----ASM- τὸν τὸν τόν ὁ
010109 N- ----ASM- Ἰωαθάμ, Ἰωαθάμ Ἰωαθάμ Ἰωαθάμ
010109 N- ----NSM- Ἰωαθὰμ Ἰωαθὰμ Ἰωαθάμ Ἰωαθάμ
010109 C- -------- δὲ δὲ δέ δέ
010109 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010109 RA ----ASM- τὸν τὸν τόν ὁ
010109 N- ----ASM- Ἀχάζ, Ἀχάζ Ἀχάζ Ἀχάζ
010109 N- ----NSM- Ἀχὰζ Ἀχὰζ Ἀχάζ Ἀχάζ
010109 C- -------- δὲ δὲ δέ δέ
010109 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010109 RA ----ASM- τὸν τὸν τόν ὁ
010109 N- ----ASM- Ἑζεκίαν, Ἑζεκίαν Ἑζεκίαν Ἑζεκίας
010110 N- ----NSM- Ἑζεκίας Ἑζεκίας Ἑζεκίας Ἑζεκίας
010110 C- -------- δὲ δὲ δέ δέ
010110 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
010110 RA ----ASM- τὸν τὸν τόν ὁ
010110 N- ----ASM- Μανασσῆ, Μανασσῆ Μανασσῆ Μανασσῆς
